time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1938-11-07T19:33:36.000Z,36.683,142.573,30,6.5,mw,,,,,iscgem,iscgem902763,2015-05-13T18:52:44.000Z,"156 km ESE of Iwaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-11-09T09:15:53.000Z,36.474,142.769,15,6.8,mw,,,,,iscgem,iscgem902769,2015-05-13T18:52:44.000Z,"180 km ESE of Iwaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-11-13T22:31:31.000Z,36.498,142.954,35,6.9,mw,,,,,iscgem,iscgem902790,2020-07-10T10:24:09.570Z,"194 km ESE of Iwaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-11-22T01:14:05.000Z,36.661,142.512,25,6.8,mw,,,,,iscgem,iscgem902816,2015-05-13T18:52:44.000Z,"151 km ESE of Iwaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-11-30T02:29:51.000Z,37.06,142.085,30,6.8,mw,,,,,iscgem,iscgem902835,2020-07-10T10:24:37.903Z,"106 km E of Iwaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-12-07T13:04:19.000Z,38.52,142.888,25,6.6,mw,,,,,iscgem,iscgem902857,2015-05-13T18:52:44.000Z,"118 km ESE of ?funato, Japan",earthquake,,,,,automatic,iscgem,iscgem
1939-02-16T18:51:07.000Z,36.865,142.055,35,6.6,mw,,,,,iscgem,iscgem901827,2020-07-10T10:07:47.810Z,"106 km ESE of Iwaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1939-03-20T03:22:27.000Z,32.508,131.692,25,6.7,mw,,,,,iscgem,iscgem901863,2020-07-10T10:08:25.988Z,"8 km SSE of Nobeoka, Japan",earthquake,,,,,automatic,iscgem,iscgem
1939-05-01T05:58:30.000Z,39.945,139.682,10,7,mw,,,,,iscgem,iscgem901919,2020-07-10T10:09:55.317Z,"24 km WNW of Tenn?, Japan",earthquake,,,,,automatic,iscgem,iscgem
1939-05-01T16:05:51.000Z,39.959,139.797,10,6.5,mw,,,,,iscgem,iscgem901923,2020-07-10T10:10:12.414Z,"15 km WNW of Tenn?, Japan",earthquake,,,,,automatic,iscgem,iscgem
1939-10-10T18:31:59.000Z,38.53,143.085,20,7,mw,,,,,iscgem,iscgem902187,2015-05-13T18:52:44.000Z,"133 km ESE of ?funato, Japan",earthquake,,,,,automatic,iscgem,iscgem
1940-08-01T15:08:25.000Z,44.527,139.489,15,7.5,mw,,,,,iscgem,iscgem901515,2020-07-10T10:04:03.935Z,"152 km WSW of Rishiri Town, Japan",earthquake,,,,,automatic,iscgem,iscgem
1940-08-13T15:36:47.000Z,36.019,132.276,10,7,mw,,,,,iscgemsup,iscgemsup901531,2020-07-10T14:01:06.171Z,"81 km NW of Hiratach?, Japan",earthquake,,,,,automatic,iscgem,iscgem
1940-11-19T15:01:43.000Z,38.996,142.152,44.2,6.7,mw,,,,,iscgem,iscgem901710,2020-07-10T10:06:24.944Z,"38 km ESE of ?funato, Japan",earthquake,,,,,automatic,iscgem,iscgem
1941-11-18T16:46:32.000Z,32.095,131.949,35,7.9,mw,,,,,iscgem,iscgem901083,2020-07-10T10:01:04.452Z,"42 km E of Takanabe, Japan",earthquake,,,,,automatic,iscgem,iscgem
1942-02-21T07:07:43.000Z,37.723,141.837,35,6.5,mw,,,,,iscgem,iscgem900206,2020-07-10T09:49:45.802Z,"78 km ENE of Namie, Japan",earthquake,,,,,automatic,iscgem,iscgem
1942-11-15T17:12:01.000Z,36.293,141.395,15,6.7,mw,,,,,iscgem,iscgem900553,2020-07-10T09:54:00.276Z,"72 km E of ?arai, Japan",earthquake,,,,,automatic,iscgem,iscgem
1942-12-19T23:10:38.000Z,31.782,141.734,20,6.7,mw,,,,,iscgem,iscgem900591,2015-05-13T18:52:44.000Z,"Izu Islands, Japan region",earthquake,,,,,automatic,iscgem,iscgem
1943-04-11T14:45:57.000Z,36.306,141.837,15,6.8,mw,,,,,iscgem,iscgem899802,2020-07-10T09:43:18.114Z,"110 km ESE of Takahagi, Japan",earthquake,,,,,automatic,iscgem,iscgem
1943-06-13T05:11:42.000Z,40.982,143.315,35,7.2,mw,,,,,iscgem,iscgem899875,2020-07-10T09:45:09.103Z,"162 km ENE of Hachinohe, Japan",earthquake,,,,,automatic,iscgem,iscgem
1943-06-13T17:39:23.000Z,40.701,143.06,31,6.4,mw,,,,,iscgem,iscgem899880,2015-05-13T18:52:45.000Z,"133 km E of Hachinohe, Japan",earthquake,,,,,automatic,iscgem,iscgem
1943-09-10T08:37:00.000Z,35.448,133.993,15,7,mw,,,,,iscgem,iscgem899991,2020-07-10T09:46:40.003Z,"16 km E of Kurayoshi, Japan",earthquake,,,,,automatic,iscgem,iscgem
1944-12-07T04:35:45.000Z,33.682,136.204,15,8.1,mw,,,,,iscgem,iscgem899647,2020-07-10T09:40:34.863Z,"21 km ESE of Shing?, Japan",earthquake,,,,,automatic,iscgem,iscgem
1945-01-12T18:38:28.000Z,34.612,137.064,10,6.6,mw,,,,,iscgem,iscgem898751,2020-07-10T09:30:00.156Z,"16 km SE of Toyohama, Japan",earthquake,,,,,automatic,iscgem,iscgem
1945-02-10T04:57:58.000Z,41.037,142.06,58.7,7.2,mw,,,,,iscgem,iscgem898801,2020-07-10T09:30:21.753Z,"68 km NE of Misawa, Japan",earthquake,,,,,automatic,iscgem,iscgem
1945-02-18T10:08:04.000Z,40.905,143.158,22.5,6.4,mw,,,,,iscgem,iscgem898812,2015-05-13T18:52:45.000Z,"147 km ENE of Hachinohe, Japan",earthquake,,,,,automatic,iscgem,iscgem
1946-01-11T01:33:31.000Z,44.639,130.154,581.2,6.8,mw,,,,,iscgem,iscgem898214,2020-07-10T09:22:48.976Z,"40 km ESE of Chaihe, China",earthquake,,,,,automatic,iscgem,iscgem
1946-12-20T19:19:10.000Z,33.116,135.895,15,8.3,mw,,,,,iscgem,iscgem898698,2020-07-10T09:29:35.223Z,"1946 Nankai Earthquake, Japan",earthquake,,,,,automatic,iscgem,iscgem
1947-11-04T00:09:14.000Z,44.01,140.78,15,7,mw,,,,,iscgem,iscgem898109,2020-07-10T09:22:11.290Z,"eastern Sea of Japan",earthquake,,,,,automatic,iscgem,iscgem
1948-04-17T16:11:32.000Z,33.145,135.706,15,7.2,mw,,,,,iscgem,iscgem897281,2020-07-10T09:10:25.153Z,"70 km SSW of Shing?, Japan",earthquake,,,,,automatic,iscgem,iscgem
1948-05-09T02:09:07.000Z,31.552,131.631,25,6.7,mw,,,,,iscgem,iscgem897316,2020-07-10T09:11:23.602Z,"25 km ESE of Nichinan, Japan",earthquake,,,,,automatic,iscgem,iscgem
1948-05-12T00:56:58.000Z,37.931,142.791,20,6.8,mw,,,,,iscgem,iscgem897321,2015-05-13T18:52:45.000Z,"141 km ESE of Ishinomaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1948-06-15T11:44:47.000Z,33.648,135.46,24.4,6.7,mw,,,,,iscgem,iscgem897385,2020-07-10T09:12:51.838Z,"12 km SE of Tanabe, Japan",earthquake,,,,,automatic,iscgem,iscgem
1948-06-28T07:13:31.000Z,36.164,136.222,10,6.8,mw,,,,,iscgem,iscgem897413,2020-07-10T09:13:10.223Z,"4 km WNW of Maruoka, Japan",earthquake,,,,,automatic,iscgem,iscgem
1948-07-07T02:19:14.000Z,33.1,136.108,15,6.4,mw,,,,,iscgem,iscgem897426,2020-07-10T09:13:44.235Z,"71 km S of Shing?, Japan",earthquake,,,,,automatic,iscgem,iscgem
1949-12-25T23:17:33.000Z,36.702,139.717,10,6.3,mw,,,,,iscgem,iscgem897116,2020-07-10T09:07:50.908Z,"3 km ESE of Imaichi, Japan",earthquake,,,,,automatic,iscgem,iscgem
1949-12-25T23:24:54.000Z,36.713,139.807,10,6.3,mw,,,,,iscgem,iscgem897117,2020-07-10T09:08:09.711Z,"11 km E of Imaichi, Japan",earthquake,,,,,automatic,iscgem,iscgem
1950-04-26T07:04:57.000Z,33.78,135.772,48.6,6.3,mw,,,,,iscgem,iscgem895387,2020-07-10T08:32:51.048Z,"20 km WNW of Shing?, Japan",earthquake,,,,,automatic,iscgem,iscgem
1950-06-17T22:37:35.000Z,36.447,141.237,35,6,mw,,,,,iscgem,iscgem895525,2020-07-10T08:34:33.714Z,"55 km ESE of Hitachi, Japan",earthquake,,,,,automatic,iscgem,iscgem
1950-06-27T15:41:48.000Z,42.979,139.881,15,6.3,mw,,,,,iscgem,iscgem895549,2020-07-10T08:35:52.155Z,"51 km W of Iwanai, Japan",earthquake,,,,,automatic,iscgem,iscgem
1950-07-18T01:33:55.000Z,39.221,143.641,10,5.9,mw,,,,,iscgem,iscgem895604,2015-05-13T18:52:45.000Z,"148 km E of Yamada, Japan",earthquake,,,,,automatic,iscgem,iscgem
1950-08-01T09:11:42.000Z,42.058,144.848,25,6.1,mw,,,,,iscgem,iscgem895643,2015-05-13T18:52:45.000Z,"109 km SSE of Kushiro, Japan",earthquake,,,,,automatic,iscgem,iscgem
1950-09-10T03:21:26.000Z,35.364,140.52,35,6.1,mw,,,,,iscgem,iscgem895816,2020-07-10T08:47:49.438Z,"near the east coast of Honshu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1950-11-05T17:37:33.000Z,33.504,134.754,25,6.7,mw,,,,,iscgem,iscgem896028,2020-07-10T08:55:11.257Z,"46 km SSE of Anan, Japan",earthquake,,,,,automatic,iscgem,iscgem
1951-01-08T18:32:26.000Z,35.304,140.329,55,6.1,mw,,,,,iscgem,iscgem894006,2020-07-10T07:59:35.820Z,"8 km NW of ?hara, Japan",earthquake,,,,,automatic,iscgem,iscgem
1951-03-10T22:03:37.000Z,41.472,142.216,64.4,6.1,mw,,,,,iscgem,iscgem894170,2015-05-13T18:52:46.000Z,"85 km ENE of Mutsu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1951-07-26T09:59:59.000Z,40.66,142.924,45,6.1,mw,,,,,iscgem,iscgem894556,2015-05-13T18:52:46.000Z,"121 km E of Hachinohe, Japan",earthquake,,,,,automatic,iscgem,iscgem
